Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I501,Monkey 2,Animal,Flickr/Jo Christian Oterhals,4.02941176470588,1.3159785904616,102,3.72277227722772,1.68593482603088,101,I501,4.111111111,1.318094738,45,3.928571429,1.305333714,56,3.632653061,1.679457719,49,3.807692308,1.703956889,52
I649,Prison 1,Scene,Pixabay,4.02941176470588,1.23043807986224,102,2.76237623762376,1.56300041491668,101,I649,3.977777778,1.233783702,45,4.089285714,1.239894214,56,2.795918367,1.513544293,49,2.730769231,1.622336546,52
I860,Wall 2,Object,Pixabay,4.02941176470588,0.496639845060589,102,1.69306930693069,1.23889123217033,101,I860,4.022727273,0.263132857,44,4.034482759,0.620286217,58,1.680851064,1.181494687,47,1.634615385,1.172041058,52
I70,Bed 1,Object,Flickr/Hannah,4.01980198019802,0.916299056201653,101,2.99029126213592,1.72919082079649,103,I70,4.034482759,0.935939667,58,4,0.899735411,43,2.93877551,1.586507738,49,3.075471698,1.858960179,53
I678,Roofing 1,Object,Pixabay,4.01980198019802,0.423797074548704,101,2.00970873786408,1.33941123757951,103,I678,4,0.418853908,58,4.046511628,0.433890944,43,2.265306122,1.454526129,49,1.79245283,1.198693047,53
I800,Storage 1,Object,Pixabay,4.01960784313725,0.744356884446584,102,2.01980198019802,1.31894046885977,101,I800,4.155555556,0.705676837,45,3.910714286,0.769339403,56,2.142857143,1.338531534,49,1.903846154,1.30248052,52
I127,Cardboard 1,Object,Pixabay,4.01851851851852,0.431937202979103,108,1.98076923076923,1.37226882666491,104,I127,4.035087719,0.565840471,57,4,0.2,51,2,1.414213562,49,1.963636364,1.346650665,55
I156,Child labor 4,Person,Pixabay,4.01851851851852,0.995142233589963,108,3.03846153846154,1.58220122517743,104,I156,4,1.052208562,57,4.039215686,0.937246698,51,2.734693878,1.617295971,49,3.309090909,1.513797375,55
I783,Soldiers 2,Person,Pixabay,4.00990099009901,1.19578467547423,101,3.50485436893204,1.63823067163499,103,I783,4.051724138,1.289939667,58,3.953488372,1.068008569,43,3.673469388,1.612293334,49,3.339622642,1.674967235,53
I801,Storage 2,Object,Pixabay,4.00990099009901,0.670746591567195,101,2.25242718446602,1.39127848244855,103,I801,4.068965517,0.697415504,58,3.930232558,0.632280409,43,2.489795918,1.401226382,49,2.037735849,1.372284229,53
I128,Cardboard 2,Object,Pixabay,4.00925925925926,0.587969265684951,108,2.06730769230769,1.47644563402501,104,I128,4.052631579,0.76581079,57,3.960784314,0.280056017,51,2.020408163,1.478876205,49,2.109090909,1.486640848,55
I185,Couple 3,Person,Pixabay,4.00925925925926,1.41087478908449,108,3.44230769230769,1.63592510022082,104,I185,4.192982456,1.407106917,57,3.803921569,1.400280084,51,3.653061224,1.785952365,49,3.254545455,1.480967924,55
I217,Desert 1,Scene,Pixabay,4,1.39424719244647,108,3.26923076923077,1.79119079136838,104,I217,4,1.463850109,57,4,1.326649916,51,3.102040816,1.828534226,49,3.418181818,1.760586067,55
I239,Dirt 4,Scene,Pixabay,4,0.808372034730701,102,1.91089108910891,1.20912373147656,101,I239,4.113636364,0.654711337,44,3.913793103,0.903880188,58,2,1.197824114,47,1.846153846,1.24277702,52
I545,Nude man 6,Person,Flickr/sea turtle,4,1.19404462825199,102,3.52475247524752,1.72970552063605,101,I545,4.022727273,1.229267817,44,3.982758621,1.177141636,58,3.276595745,1.849819353,47,3.769230769,1.579468571,52
I817,Surgery 2,Person,Pixabay,4,1.26047016891673,108,3.72115384615385,1.79241514548708,104,I817,3.929824561,1.399740398,57,4.078431373,1.092577453,51,3.306122449,1.622807259,49,4.090909091,1.868577665,55
I111,Camping 9,Person,Pixabay,3.99019607843137,1.25465547351143,102,3.4950495049505,1.70659756460765,101,I111,4.133333333,1.235828761,45,3.892857143,1.274627524,56,3.489795918,1.838505382,49,3.5,1.590412451,52
I600,Paperclips 1,Object,Pixabay,3.99019607843137,0.455876873233141,102,2,1.34164078649987,101,I600,4,0.304997141,44,3.982758621,0.545841675,58,2.191489362,1.361557578,47,1.807692308,1.328989909,52
I820,Surgery 5,Person,Wikipedia,3.99019607843137,1.45897765670237,102,4.16831683168317,1.69156322335698,101,I820,3.888888889,1.510903135,45,4.107142857,1.410075065,56,4.265306122,1.765119333,49,4.076923077,1.631144838,52
I147,Cemetery 2,Scene,Pixabay,3.99009900990099,1.29224648968338,101,4.21359223300971,1.93345411439943,103,I147,4,1.184697756,58,3.976744186,1.43905346,43,4,1.814295088,49,4.433962264,2.042899843,53
I171,Cold 1,Object,Pixabay,3.99009900990099,1.05351838621782,101,3.47572815533981,1.66182429992083,103,I171,4.172413793,0.957664026,58,3.744186047,1.135845044,43,3.510204082,1.647250853,49,3.41509434,1.691994297,53
I862,Wall 4,Object,Pixabay,3.99009900990099,0.499900980294108,101,1.83495145631068,1.30682287515645,103,I862,4.017241379,0.545841675,58,3.953488372,0.433890944,43,2.204081633,1.499716527,49,1.509433962,1.011903034,53
I863,Wall 5,Object,Pixabay,3.99009900990099,0.479479916262412,101,1.84466019417476,1.31921903184733,103,I863,3.948275862,0.54362054,58,4.046511628,0.375023071,43,2.040816327,1.485473882,49,1.679245283,1.139729808,53
I563,Nude man 23,Person,Flickr/Sasha Kargaltsev,3.98039215686275,1.48910493520661,102,3.59405940594059,1.66840173712318,101,I563,3.866666667,1.56088553,45,4.089285714,1.4431882090000001,56,3.244897959,1.626993806,49,3.923076923,1.655012041,52
I646,Power lines 1,Scene,Pixabay,3.97058823529412,1.11209268750532,102,2.67326732673267,1.40789851119382,101,I646,3.8,1.198483891,45,4.107142857,1.038855514,56,2.714285714,1.369306394,49,2.634615385,1.455602377,52
I192,Crosswalk 1,Scene,StockOGraphy,3.96296296296296,0.668740284945431,108,2.31730769230769,1.59650360133213,104,I192,4,0.654653671,57,3.921568627,0.68827719,51,2.224489796,1.51747194,49,2.4,1.673320053,55
I519,Neutral face 1,Person,Wikipedia,3.96078431372549,0.716448454993376,102,2.40594059405941,1.3503941485491,101,I519,4,0.681994339,44,3.931034483,0.746032052,58,2.638297872,1.292546054,47,2.173076923,1.33902443,52
I765,Sleepy pose 4,Person,Flickr/matt,3.96078431372549,0.91111474130908,102,2.52475247524752,1.48723945217938,101,I765,4.113636364,0.8684632,44,3.844827586,0.932864371,58,2.489361702,1.427560102,47,2.538461538,1.527031446,52
I827,Thunderstorm 3,Scene,Pixabay,3.96039603960396,1.32605272956401,101,4.67961165048544,1.74453540212708,103,I827,4.120689655,1.257644501,58,3.744186047,1.398860476,43,4.918367347,1.565736444,49,4.452830189,1.89702234,53
I680,Roofing 3,Object,Pixabay,3.92592592592593,0.636927550622616,108,2.07692307692308,1.39132058307896,104,I680,3.964912281,0.596564937,57,3.882352941,0.682555751,51,1.918367347,1.304427312,49,2.218181818,1.461745647,55
I115,Car 2,Object,Pixabay,3.92079207920792,1.09254902239517,101,2.87378640776699,1.56981085191619,103,I115,3.862068966,1.099414132,58,4,1.091089451,43,3.163265306,1.760053725,49,2.641509434,1.331487595,53
I398,Gorrila 1,Animal,Flickr/Antony Stanley,3.90740740740741,1.35023042019063,108,3.53846153846154,1.68328779605022,104,I398,3.894736842,1.234680562,57,3.921568627,1.48112305,51,3.183673469,1.509324758,49,3.854545455,1.778661397,55
