"","Image","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","Valence_mean_men","Valence_SD_men","Valence_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Arousal_mean_women","Arousal_SD_women","Arousal_N_women","Valence_gender_difference"
"55","I816","Surgery_1","Person","Pixabay",2.91176470588235,1.14410188890996,102,4.38613861386139,1.8164266956291,101,3.159090909,0.887724602,44,2.724137931,1.281352129,58,4.127659574,1.764591605,47,4.730769231,1.77250664,52,0.434952978
"56","I819","Surgery_4","Person","Wikipedia",3.48514851485149,1.18839270770346,101,3.89320388349515,1.86249159155477,103,3.517241379,1.188266898,58,3.441860465,1.201235982,43,3.87755102,1.821545281,49,3.924528302,1.930016507,53,0.0753809140000001
"57","I821","Surprise_1","Person","Pixabay",4.68627450980392,1.11675264868892,102,4.06930693069307,1.5182715550426,101,4.613636364,0.993371265,44,4.74137931,1.207583419,58,4.212765957,1.413232038,47,3.980769231,1.626862548,52,0.127742946
"58","I827","Thunderstorm_3","Scene","Pixabay",3.96039603960396,1.32605272956401,101,4.67961165048544,1.74453540212708,103,4.120689655,1.257644501,58,3.744186047,1.398860476,43,4.918367347,1.565736444,49,4.452830189,1.89702234,53,0.376503608
"59","I829","Thunderstorm_5","Scene","Pixabay",4.75247524752475,1.28379079755277,101,4.52427184466019,1.80329034884533,103,4.706896552,1.169924584,58,4.813953488,1.435200566,43,4.612244898,1.765601013,49,4.433962264,1.865779214,53,0.107056936
"60","I832","Thunderstorm_8","Scene","Pixabay",4.37254901960784,1.3637569585992,102,4.74257425742574,1.84202858472139,101,4.613636364,1.297867824,44,4.189655172,1.394939432,58,4.723404255,1.702965797,47,4.769230769,1.986378956,52,0.423981192
"61","I848","Tornado_1","Scene","Pixabay",2.09803921568627,1.11257264906028,102,5.05940594059406,1.91740335964146,101,2.340909091,0.963114662,44,1.913793103,1.188903118,58,4.893617021,1.890871004,47,5.269230769,1.931324696,52,0.427115988
"62","I854","Traffic_1","Scene","Pixabay",4.62376237623762,1.13005738923751,101,4.23300970873786,1.70468721468333,103,4.706896552,1.043082824,58,4.511627907,1.241582957,43,4.081632653,1.681228899,49,4.396226415,1.735817505,53,0.195268645
"63","I873","Weapon_1","Object","Wikipedia",2.84259259259259,1.38187220311395,108,3.79807692307692,1.77567057040655,104,3.210526316,1.410886779,57,2.431372549,1.237010945,51,3.816326531,1.703837206,49,3.781818182,1.852834756,55,0.779153767
"64","I881","Wedding_8","Object","Pixabay",5.62745098039216,1.11623100476072,102,3.86138613861386,1.6126357491405,101,5.636363636,1.101603674,44,5.620689655,1.136747996,58,3.617021277,1.581869993,47,4.038461538,1.644498117,52,0.0156739809999999
