,Theme,Category,Source,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I240,Dirt 5,4,Pixabay,3.620689655,0.834089191,58,3.441860465,0.825265486,43,2.163265306,1.389648318,49,1.849056604,1.364328891,53
I241,Dock 1,4,Pixabay,5.362068966,0.930916844,58,5.837209302,1.089565937,43,3.408163265,1.644667739,49,3.867924528,1.617663746,53
I242,Doctor 1,3,Pixabay,4.704545455,0.878146713,44,4.637931034,1.280053122,58,3.063829787,1.420414136,47,3.230769231,1.744631931,52
I243,Doctor 2,3,Pixabay,4.052631579,1.301387345,57,4.058823529,1.287039466,51,3.040816327,1.499432999,49,4.2,1.859908401,55
I244,Doctor 3,3,Pixabay,4.298245614,0.999373237,57,4.411764706,1.329307648,51,2.87755102,1.494889253,49,3.454545455,1.782821129,55
I245,Doctor 4,3,Pixabay,3.827586207,1.24446749,58,3.790697674,1.145553298,43,3.897959184,1.794028265,49,3.886792453,1.887819024,53
I246,Doctor 5,3,Pixabay,3.793103448,1.055621887,58,3.534883721,1.054442692,43,3.571428571,1.707825128,49,3.716981132,1.790760029,53
I247,Doctor 6,3,Pixabay,4.2,1.035725481,45,4.535714286,0.76191829,56,2.612244898,1.411505203,49,2.5,1.475286612,52
I248,Doctor 7,3,Pixabay,3.5,0.821229934,44,3.224137931,1.351322983,58,4.255319149,1.674204355,47,4.673076923,1.779195168,52
I249,Doctor 8,3,Pixabay,3.724137931,1.18162991,58,3.744186047,1.071114757,43,4,1.825741858,49,3.849056604,1.955231901,53
I250,Doctor 9,3,Pixabay,3.704545455,0.904241824,44,3.655172414,1.383508433,58,3.978723404,1.436925487,47,4.307692308,1.502135232,52
I251,Dog 1,1,Pixabay,5.275862069,0.91369893,58,4.953488372,1.479277307,43,4.183673469,1.55018103,49,4.471698113,1.588465316,53
I252,Dog 2,1,Pixabay,5.706896552,1.059768606,58,6.162790698,0.949441755,43,4.265306122,1.538065752,49,4.509433962,1.738950186,53
I253,Dog 3,1,Pixabay,5.577777778,1.055050384,45,5.875,0.973512852,56,3.285714286,1.607275127,49,3.75,1.631491559,52
I254,Dog 4,1,Pixabay,5.964912281,0.999373237,57,6.470588235,0.833137232,51,3.612244898,1.890946925,49,4.277777778,1.784806598,54
I255,Dog 5,1,Pixabay,5.672413793,1.08236147,58,6.302325581,0.964485644,43,4.285714286,1.870828693,49,5.018867925,1.770382032,53
I256,Dog 6,1,Pixabay,6.159090909,0.913546165,44,6.74137931,0.548053808,58,4.574468085,1.838532979,47,5.423076923,1.551042077,52
I257,Dog 7,1,Pixabay,5.533333333,1.035725481,45,5.75,1.132174095,56,3.836734694,1.748176893,49,4.096153846,1.849850183,52
I258,Dog 8,1,Pixabay,5.295454545,1.152944571,44,5.534482759,1.465575957,58,4.29787234,1.600474028,47,4.423076923,1.775057622,52
I259,Dog 9,1,Public Domain Photos,4.113636364,1.125102767,44,4.137931034,1.262804952,58,3.765957447,1.535277428,47,4.307692308,1.894661867,52
I260,Dog 10,1,Pixabay,5.409090909,0.972127416,44,5.827586207,0.881345284,58,3.744680851,1.58069997,47,4,1.760124773,52
I261,Dog 11,1,Pixabay,5.350877193,1.10987818,57,6,0.894427191,51,3.693877551,1.660874288,49,3.581818182,1.62948423,55
I262,Dog 12,1,Wikipedia,6.103448276,0.787838597,58,6.534883721,0.701998413,43,4.346938776,1.548534528,49,4.490566038,1.705451006,53
I263,Dog 13,1,Flickr/Waldo Jaquith,5.8,1.17936809,45,5.892857143,1.122959911,56,3.93877551,1.807486322,49,4.173076923,1.677079088,52
I264,Dog 14,1,Flickr/hairygrumpy,5.75862069,1.031271483,58,6.069767442,0.910137322,43,3.836734694,1.504810879,49,4.528301887,1.671063383,53
I265,Dog 15,1,Wikipedia,3.511111111,1.687146895,45,3.410714286,1.786584204,56,3.795918367,1.881705696,49,4.057692308,1.753578543,52
I266,Dog 16,1,Pixabay,5.113636364,1.315664287,44,5.603448276,1.521075972,58,4.361702128,1.509758574,47,5.173076923,1.757015672,52
I267,Dog 17,1,Pixabay,5.172413793,1.171862081,58,5.302325581,1.318998244,43,3.795918367,1.580869906,49,3.867924528,1.652943015,53
I268,Dog 18,1,Pixabay,5.909090909,0.884443901,44,6.413793103,0.750075616,58,4.70212766,1.397433885,47,5,1.608799333,52
I269,Dog 19,1,Pixabay,5.706896552,0.973483899,58,6.255813953,0.875405301,43,4.204081633,1.554289653,49,4.471698113,1.738741516,53
I270,Dog 20,1,Pixabay,5.689655172,0.940453354,58,6.186046512,0.879821788,43,4.081632653,1.511576642,49,4.283018868,1.758248238,53
I271,Dog 21,1,Pixabay,5.755555556,1.069314894,45,6.160714286,0.848030568,56,3.734693878,1.788569147,49,4.346153846,1.51960541,52
I272,Dog 22,1,Pixabay,5.022222222,1.305388986,45,5.196428571,1.241987306,56,3.918367347,1.592125606,49,3.846153846,1.588989263,52
I273,Dog 23,1,Flickr/Daniel Pascoal,2.863636364,1.356995811,44,2.534482759,1.441435898,58,4.510638298,1.792160955,47,5.076923077,1.845462415,52
I274,Dog 24,1,Wikipedia,1.977272727,0.848764803,44,1.827586207,1.23028924,58,4.340425532,2.119029677,47,5.25,2.113217044,52
I275,Dog 25,1,Flickr/InkHong,3.666666667,1.573591585,57,3.215686275,1.460324971,51,3.612244898,1.705583069,49,4.454545455,1.793178244,55
